station,longitude,latitude,z
722436-12906,-9.5167E7,2.9617E7,1.0787025555089969
722445-03904,-9.6365E7,3.0589E7,1.5967741935483843
722446-93987,-9.4754E7,3.1236E7,2.9699999999999847
722447-03901,-9.4712E7,3.2384999999999996E7,2.1112473118279524
722448-13972,-9.5403E7,3.2354E7,1.160161290322577
722448-99999,-9.54E7,3.235E7,-0.334505005561752
722470-03901,-9.4712E7,3.2384999999999996E7,2.307129032258061
722480-13957,-9.3824E7,3.2447000000000004E7,3.73387096774195
722484-53905,-9.3745E7,3.2543E7,0.994838709677424
722485-13944,-9.3667E7,3.25E7,3.007741935483864
722486-13942,-9.2041E7,3.2516E7,1.2009677419354716
722487-13935,-9.2296E7,3.1393E7,1.866774193548352
722499-99999,-9.471E7,3.1578E7,0.7783426028920957
722500-12919,-9.7423E7,2.5914E7,3.5380645161289976
722505-12904,-9.7654E7,2.6228E7,3.1645161290322363
722506-12959,-9.8254E7,2.6184E7,2.3603225806451604
722510-12924,-9.7512E7,2.7774E7,3.9806451612902976
722515-12926,-9.7283E7,2.7683E7,0.20371669004204307
722516-12928,-9.7817E7,2.75E7,3.2780973559814726
722517-12932,-9.8025E7,2.7741E7,1.5222580645161088
722520-12920,-9.9467E7,2.755E7,0.8128921023359226
722520-99999,-9.9467E7,2.755E7,-0.42672043010750826
722523-12970,-9.8472E7,2.9339E7,1.4745161290322528
722524-99999,-9.705E7,2.8083E7,1.3783870967741763
722525-12920,-9.9461E7,2.7544E7,0.8483126550868292
722526-12947,-9.9218E7,2.8457E7,3.4622688172043183
722530-12921,-9.8484E7,2.9544E7,1.9068458781361954
722533-12962,-9.9174E7,2.936E7,1.2684094180100942
722535-12909,-9.8583E7,2.9383E7,1.0052995391704798
722536-12911,-9.8262E7,2.9533E7,1.364516129032225
722537-99999,-9.9086E7,2.9977E7,0.0
722540-13904,-9.768E7,3.0183E7,1.1283870967741905
722540-13958,-9.776E7,3.0321E7,0.8377419354838764
722544-13958,-9.776E7,3.0321E7,1.258064516129025
722545-99999,-9.7683E7,3.02E7,-0.49591811414391884
722547-99999,-9.7683E7,3.0683E7,0.2951612903225822
722550-12912,-9.693E7,2.8861E7,3.621175115207393
722555-12935,-9.6254E7,2.8725E7,1.8816129032258146
722556-12925,-9.7667E7,2.8367E7,4.574193548387072
722560-13959,-9.7228E7,3.1619E7,2.1400000000000006
722563-99999,-9.7317E7,3.1483E7,0.385617352613977
722570-03933,-9.7717E7,3.1133E7,3.3360533070933513
722575-99999,-9.7683E7,3.1083E7,0.8839438585607979
722576-03902,-9.7833E7,3.1067E7,1.4706451612903066
722577-99999,-9.74E7,3.115E7,1.9090322580645278
722580-13960,-9.6856E7,3.2852E7,2.1548387096774064
722583-13960,-9.6856E7,3.2852E7,0.5699999999999505
722585-93901,-9.6967E7,3.2732999999999996E7,-2.4959955021435007
722586-99999,-1.00283E8,2.9267E7,-0.8232258064516031
722587-99999,-9.545E7,3.3633E7,4.513264765082866
722588-99999,-9.6067E7,3.3067E7,-0.23559943200794464
722590-03927,-9.7019E7,3.2898E7,2.5306451612903516
722594-99999,-9.7317E7,3.2983E7,1.1397634408602073
722595-13911,-9.745E7,3.2767000000000004E7,1.2570967741935277
722596-13961,-9.7361E7,3.2819E7,0.7299999999999898
722597-93985,-9.806E7,3.2782E7,-0.14806451612901128
722598-99999,-9.6833E7,3.2967E7,2.1599855394883036
722599-99999,-9.6867E7,3.2683E7,0.9088809523809402
722600-03969,-9.8178E7,3.2215000000000004E7,0.9212903225806173
722610-22010,-1.00927E8,2.9378E7,1.7741935483871032
722615-22001,-1.00783E8,2.9367E7,1.418387096774154
722618-99999,-1.02917E8,3.0917E7,1.0044387096774017
722620-23055,-1.04809E8,3.1831E7,4.340121881455573
722630-23034,-1.00495E8,3.1352E7,5.122907135874897
722636-93042,-1.0255E8,3.6017E7,0.17645161290319322
722640-93035,-1.04017E8,3.0371E7,1.0973198235456323
722650-23023,-1.02209E8,3.1948E7,1.4603225806451832
722655-23005,-1.01517E8,3.2217E7,-2.509354838709669
722656-23040,-1.03202E8,3.178E7,2.334860215053766
722660-13962,-9.9682E7,3.2411E7,0.41483870967743997
722665-13910,-9.985E7,3.2433E7,1.8293548387096763
722670-23042,-1.01823E8,3.3666E7,1.886604414261413
722673-99999,-9.6667E7,3.3717E7,1.57908008898778
722675-23021,-1.0205E8,3.36E7,-0.3193548387096854
722680-23009,-1.04508E8,3.3308E7,0.590322580645136
722683-99999,-1.05533E8,3.3467E7,0.8348387096774132
722685-99999,-1.05667E8,3.41E7,4.125699883449883
722686-23008,-1.03317E8,3.4383E7,-0.8136042183623147
722687-93033,-1.04258E8,3.2334000000000004E7,0.43741935483870975
722688-93034,-1.03213E8,3.2692999999999996E7,-0.938580645161295
722689-99999,-1.03083E8,3.4433E7,2.0435750834260205
722690-99999,-1.06483E8,3.2383000000000004E7,0.767860748588518
722695-99999,-1.06917E8,3.2283E7,0.5380741322142057
722696-99999,-1.061E8,3.285E7,-2.613730715287545
722700-23044,-1.06376E8,3.1811E7,1.293870967741924
722710-93045,-1.07268E8,3.3237E7,1.2610904708935777
722720-93063,-1.08167E8,3.2633000000000004E7,0.77100095668672
722725-99999,-1.07717E8,3.225E7,-0.3182795698924821
722730-03124,-1.10344E8,3.1588E7,2.1515827956989
722735-93026,-1.09606E8,3.1458E7,0.5219354838709194
722740-23160,-1.10955E8,3.2131E7,1.9303225806451394
722745-23109,-1.10883E8,3.2167E7,-0.009677419354844119
722747-99999,-1.09633E8,3.285E7,6.827659451046955
722748-99999,-1.11767E8,3.295E7,0.26823136818686066
722780-23183,-1.12004E8,3.3428E7,1.68935483870969
722784-99999,-1.12083E8,3.3688E7,1.8163763440859952
722785-23111,-1.12367E8,3.355E7,2.979935826131566
722786-23104,-1.11667E8,3.33E7,1.826967741935448
722788-99999,-1.12383E8,3.3417E7,1.3242729134664302
722789-99999,-1.11911E8,3.3623E7,1.2671881720429639
722800-23195,-1.146E8,3.2667E7,2.3639139784946366
722805-03145,-1.14617E8,3.265E7,0.06935483870967118
722810-23199,-1.15683E8,3.2817E7,0.1906510798639829
722860-23119,-1.1725E8,3.39E7,3.5954838709677404
722865-93180,-1.1765E8,3.4067E7,3.5809199522102944
722866-23122,-1.17233E8,3.4083E7,1.083870967741916
722867-23156,-1.16967E8,3.3933E7,3.1369441627112877
722868-99999,-1.165E8,3.3833E7,7.785946236559155
722874-93134,-1.18291E8,3.4024E7,0.42258064516127547
722880-23152,-1.18358E8,3.4201E7,1.8351075268816999
722885-99999,-1.1845E8,3.4017E7,1.1898771121351785
722886-23130,-1.18489E8,3.421E7,1.6532227342549817
722890-93136,-1.18067E8,3.4233E7,3.5924946963685755
722895-99999,-1.20467E8,3.4667E7,0.33129032258062807
722897-99999,-1.20633E8,3.5233E7,0.31028673835126597
722900-23188,-1.17183E8,3.2734E7,-0.3870967741935516
722901-99999,-1.17133E8,3.2817E7,1.7405223620465762
722903-99999,-1.1714E8,3.2816E7,0.45539784946237205
722904-23196,-1.16967E8,3.2567E7,2.0960887096774314
722906-93112,-1.172E8,3.2700000000000004E7,3.6761290322580464
722907-99999,-1.16967E8,3.2833E7,1.7990322580645284
722908-99999,-1.17733E8,3.3667E7,3.854580645161292
722909-93115,-1.17117E8,3.2567E7,0.5700381044855192
722910-93116,-1.1945E8,3.325E7,4.145202845990056
722914-99999,-1.17233E8,3.2767000000000004E7,-0.16346774193549152
722915-93114,-1.17833E8,3.37E7,0.6800645161290362
722920-23191,-1.18416E8,3.3405E7,1.561881720430108
722924-99999,-1.18333E8,3.3333E7,-1.8026190476190465
722925-93117,-1.18588E8,3.3023E7,3.003751511003543
722926-03154,-1.1735E8,3.33E7,1.0260028218597341
722927-99999,-1.1728E8,3.3128E7,0.875069124423959
722929-99999,-1.174E8,3.3217E7,-0.49571428571428555
722930-93107,-1.17133E8,3.2867E7,-0.8574193548387115
722950-23174,-1.18389E8,3.3938E7,-1.120000000000033
722953-99999,-1.18152E8,3.5059E7,0.16855373611892333
722955-03122,-1.18333E8,3.38E7,1.9514953168577023
722970-23129,-1.18146E8,3.3812E7,4.486709677419327
722973-99999,-1.17883E8,3.36E7,-5.447892323490649
722974-99999,-1.18167E8,3.3767E7,-1.1751612903225777
722975-93106,-1.1805E8,3.3783E7,0.8551935483871063
722976-99999,-1.17983E8,3.3867E7,1.443108504398836
722977-93184,-1.17866E8,3.368E7,2.2814905450500333
723011-13748,-7.79E7,3.4268E7,0.5522580645161241
723013-13748,-7.79E7,3.4268E7,-0.5293548387096791
723020-99999,-7.79E7,3.4267E7,0.11023924731182433
723030-13714,-7.9009E7,3.5174E7,2.167281105990753
723034-99999,-7.95E7,3.5033E7,0.3144405805949333
723035-99999,-7.8883E7,3.4983E7,0.2458494623655838
723040-93729,-7.5622E7,3.5233E7,1.2006451612903106
723040-99999,-7.555E7,3.5267E7,0.7579310344827519
723046-99999,-7.57E7,3.5917E7,0.49955730690494704
723060-13722,-7.8782E7,3.5892E7,3.9148387096774115
723065-99999,-7.7383E7,3.5635E7,0.12225806451611732
723066-13713,-7.7965E7,3.5344E7,3.0188680544519997
723067-93726,-7.7633E7,3.5317E7,0.48231145717463164
723068-99999,-7.7883E7,3.585E7,0.788139784946253
723069-99999,-7.7617E7,3.4833E7,0.6867625579093044
723075-13769,-7.6033E7,3.6817E7,-0.22221505376344908
723080-13737,-7.6192E7,3.6903E7,-0.00645161290323415
723083-13763,-7.6903E7,3.6698E7,0.6789247311827751
723084-99999,-7.7437E7,3.7709E7,0.466285262492093
723085-13750,-7.6283E7,3.695E7,0.9867741935483991
723086-93741,-7.6493E7,3.7132E7,-0.09032258064517862
723086-99999,-7.6483E7,3.7133E7,-0.10161290322578509
723087-93735,-7.66E7,3.7133E7,1.976573632538532
723088-99999,-7.6317E7,3.7483E7,-1.3488882091212417
723090-13754,-7.6883E7,3.49E7,-0.11032258064516043
723095-93719,-7.7048E7,3.5068E7,0.3606989247311674
723096-93727,-7.7383E7,3.47E7,-0.7491858475229094
723097-93743,-7.7033E7,3.4683E7,-1.3392298324966418
723100-13883,-8.1118E7,3.3942E7,1.6564516129032256
723105-93833,-8.0801E7,3.3921E7,1.5476021505376423
723106-13744,-7.9724E7,3.4185E7,0.15414905450501237
723108-13776,-7.9059E7,3.4608E7,0.0
723110-13873,-8.3328E7,3.3948E7,3.0334086021505584
723119-13886,-8.2346E7,3.4846E7,2.766693548387096
723120-03870,-8.2221E7,3.4884E7,2.6922580645161247
723125-93846,-8.271E7,3.4498E7,0.17709677419352943
723139-93729,-7.5622E7,3.5233E7,1.0829892473118008
723140-13881,-8.0955E7,3.5224E7,2.159064516129007
723143-99999,-7.9383E7,3.5233E7,1.282580645161275
723145-03810,-8.1382E7,3.5743E7,1.244838709677424
723150-03812,-8.2538E7,3.5432E7,0.7764516129032444
723155-99999,-8.2817E7,3.59E7,0.481451851851844
723170-13723,-7.9943E7,3.6097E7,3.231612903225809
723181-13877,-8.2404E7,3.6473E7,0.9422580645161247
723183-13877,-8.2404E7,3.6473E7,1.3161290322580612
723190-93807,-8.0222E7,3.6134E7,0.6645161290322505
723193-93807,-8.0222E7,3.6134E7,2.387394895427178
723200-93801,-8.5161E7,3.4348E7,4.833480863222803
723230-03856,-8.6786E7,3.4644E7,3.552903225806432
723235-13896,-8.76E7,3.4744E7,2.5948387096774326
723240-13882,-8.5201E7,3.5031E7,2.7410322580645214
723246-53868,-8.4238E7,3.6024E7,-0.5493548387096894
723260-13891,-8.3986E7,3.5818E7,1.6819354838709586
723265-03847,-8.5081E7,3.5951E7,-0.09225806451613039
723270-13897,-8.6689E7,3.6119E7,2.226451612903219
723273-99999,-8.6517E7,3.6E7,-2.2792258064516204
723290-03849,-8.4077E7,3.7087E7,0.7370967741935459
